rxn03253:	ACOAD4f
rxn02720:	ACOAD5f
rxn00946:	ACOAD7f
rxn02679:	ACOAD3f
rxn02803:	ACOAD6f
rxn03251:	ACOAD2f
rxn00872:	ACOAD1f
rxn01451:	HACD1
rxn03242:	HACD5
rxn03239:	HACD7
rxn06777:	HACD6
rxn03244:	HACD4
rxn03249:	HACD2
rxn03246:	HACD3
rxn02122:	ALDD32
rxn00616:	G3PD
rxn00501:	MMSAD3
rxn10125:	THD2
rxn01851:	ABUTD
rxn01297:	HXAND
rxn01522:	XAND
rxn00288:	FRD
rxn10126:	SUCD4
rxn06493:	GCCc
rxn13808:	NTRIRx
rxn00623:	SULR
rxn00506:	ALDD2x
rxn10122:	NADH6
rxn00604:	G6PDH2r
rxn00671:	MMSAD1
rxn01115:	GND
rxn00338:	ASPO6
rxn00248:	MDH
rxn05353:	EAR40y
rxn05356:	EAR100y
rxn05355:	EAR120y
rxn05357:	EAR60y
rxn05352:	EAR80y
rxn05338:	3OAR100
rxn00611:	G3PD1
rxn00612:	G3PD2
rxn05322:	BTMAT1
rxn05327:	DEMAT4
rxn05324:	DDMAT5
rxn05326:	EAR60x
rxn08396:	EAR180x
rxn05325:	EAR80x
rxn02866:	MBCOAi
rxn05339:	HBUR1
rxn05337:	3OAR60
rxn05341:	3OAR80
rxn05336:	3OAR160
rxn07993:	3OAR181
rxn05340:	3OAR120
rxn05342:	3OAR140
rxn00083:	NADTRHD
rxn00160:	MALDDH
rxn00781:	GAPD
rxn08398:	EAR181x
rxn03897:	BZ12DOX
rxn05289:	TRDR
rxn02842:	DGC3D
rxn01643:	ASAD
rxn00211:	UDPGD
rxn01480:	HIBD
rxn01053:	LCAD
rxn01867:	BETALDHx
rxn01945:	HPA3MO
rxn08975:	NADH5
rxn00371:	FDH
rxn08094:	AKGDH
rxn00154:	PDH
rxn00085:	GLUSy
rxn00159:	ME1
rxn00161:	ME2
rxn01740:	SHK3Dr
rxn00962:	4HBHYOX
rxn00509:	SSALy
rxn01101:	PGCD
rxn00686:	DHFR
rxn00931:	P5CR
rxn04954:	MTHFR2
rxn01802:	GLUTCOADHc
rxn01331:	E4PD
rxn02465:	AGPR
rxn00183:	PUTA3
rxn02270:	ACOADH1
rxn00508:	SSALx
rxn00500:	LDH_D
rxn02939:	PERD
rxn01241:	PDHcr
rxn02933:	HACD9
rxn00907:	MTHFD
rxn00992:	BDH
rxn00086:	GTHOr
rxn01475:	PGLCNDH
rxn00546:	M1PD
rxn02774:	SHCHD2
rxn00198:	ICDHyr
rxn03492:	PC6AR
rxn02285:	UAPGR
rxn00077:	NADK
rxn01268:	PPND
rxn00763:	ALCD19
rxn03958:	DXPRIi
rxn01302:	HSDy
rxn00834:	IMPD
rxn05293:	MECDPDH2
rxn00105:	NMNAT
rxn02373:	G5SD
rxn02474:	APRAUR
rxn03055:	CMCMSAD
rxn01790:	DPR
rxn00859:	HISTD
rxn08352:	DMPPS
rxn08756:	IPDPS
rxn00122:	FMNAT
rxn00184:	GDH1
rxn01011:	HPYRRx
rxn06591:	GLUTRR
rxn08764:	KARA2
rxn02929:	DHDPRy
rxn00190:	NADS2
rxn00138:	NADS1m
rxn08977:	NADPHQR2
rxn02003:	TDPDRR
rxn08291:	DAAD
rxn00429:	ALDD1
rxn00868:	ACOAD1
rxn10074:	FAO4
rxn01729:	OXPTNDH
rxn01068:	THRD
rxn05159:	CHLabc
rxn05180:	CRNabc
rxn08087:	AGPAT161
rxn08086:	AGPAT160
rxn08089:	AGPAT181
rxn08088:	AGPAT180
rxn08085:	AGPAT141
rxn08083:	AGPAT120
rxn08084:	AGPAT140
rxn05175:	SPMDabc
rxn03243:	ACACT5r
rxn03248:	ACACT3r
rxn06510:	ACACT6r
rxn02804:	ACACT7r
rxn02680:	ACACT4r
rxn05619:	MOBDabc
rxn05163:	PTRCabc
rxn10158:	FUMt2_3
rxn05154:	ARGabc
rxn00727:	ANS
rxn05161:	LEUabc
rxn05168:	VALabc
rxn05155:	GLNabc
rxn05201:	HXANt2r
rxn02831:	SUCBZL
rxn08669:	GPDDA4
rxn05156:	ORNabc
rxn05164:	HISabc
rxn09450:	FACOAL161
rxn09449:	FACOAL180
rxn09448:	FACOAL181
rxn05736:	FACOAL140
rxn00947:	FACOAL160
rxn08002:	3OAS181
rxn05349:	ACOATA
rxn05331:	3HAD120
rxn05333:	3HAD100
rxn08306:	DASYN120
rxn08307:	DASYN140
rxn08308:	DASYN141
rxn08310:	DASYN161
rxn08311:	DASYN180
rxn08312:	DASYN181
rxn10481:	Cuabc
rxn01629:	G1SAT
rxn02911:	ECOAH5
rxn03240:	ECOAH7
rxn03241:	ECOAH6
rxn03245:	ECOAH4
rxn03250:	ECOAH2
rxn03247:	ECOAH3
rxn05165:	PROabc
rxn05181:	GLYBabc
rxn02160:	HISTP
rxn01964:	TRPS1r
rxn00416:	ASNS1
rxn05651:	SO4t2
rxn05564:	ABUTt2r
rxn01192:	PCADYOX
rxn00874:	ACACT2r
rxn02483:	CMLDC
rxn01827:	34HPPOR
rxn03393:	OPHBDC
rxn05176:	TSULabc
rxn05153:	SULabc
rxn00858:	AGMT
rxn05237:	CYSabc
rxn09657:	THMt2
rxn05202:	XANt2
rxn05682:	ALLNt2
rxn05312:	PIt2r
rxn05527:	CSNt2
rxn05318:	ADNt2
rxn05198:	CYTDt2
rxn05317:	DADNt2
rxn05205:	DCYTt2
rxn05316:	INSt2
rxn05200:	THMDt2
rxn05199:	URIt2
rxn09688:	DGSNt2
rxn09687:	DINSt2
rxn09685:	DURIt2
rxn02287:	UPP3MT
rxn04092:	DAMOX_ALA
rxn08550:	G3PAT161
rxn08552:	G3PAT181
rxn00256:	CS
rxn00225:	ACKr
rxn00799:	FUM
rxn05663:	TRPt2r
rxn00806:	LEUTA
rxn00493:	PHETA1
rxn05108:	UNK3
rxn03004:	GARFT
rxn01644:	DHDPS
rxn05179:	ILEabc
rxn10170:	ALAabc
rxn05169:	THRabc
rxn01352:	NTPTP1
rxn09016:	NTPTP2
rxn05231:	RNDR1
rxn06076:	RNDR3
rxn05233:	RNDR2
rxn06075:	RNDR4
rxn05561:	FUMt2r
rxn10154:	SUCCt2_2
rxn00902:	IPPS
rxn00269:	GLYO1
rxn10113:	CYTBO3
rxn05152:	ASPabc
rxn05146:	GLUabc
rxn08861:	MACPD
rxn05197:	URAt2
rxn08527:	FRD2
rxn00285:	SUCOAS
rxn05334:	3HAD80
rxn05329:	HBUHL1
rxn05330:	3HAD60
rxn10168:	Kabc
rxn02276:	MACACI
rxn01332:	DDPA
rxn01388:	ACONTb
rxn00974:	ACONTa
rxn00973:	ACONT
rxn05160:	RIBabc
rxn05167:	XYLabc
rxn05173:	ARBabc
rxn02143:	3OADPCOAT
rxn02889:	MCCC
rxn05649:	DSERt2
rxn05307:	SERt2r
rxn05300:	THRt2r
rxn00649:	CYSS
rxn08229:	CLPNS160pp
rxn08230:	CLPNS161pp
rxn08231:	CLPNS180pp
rxn08232:	CLPNS181pp
rxn00065:	ADNCYC
rxn05608:	MALTTRabc
rxn05614:	METSRabc
rxn05613:	METSabc
rxn05149:	MNabc
rxn00165:	SER_AL
rxn06377:	GCCa
rxn00175:	ACS
rxn05151:	LYSabc
rxn01199:	XYLK
rxn08556:	G3PD5
rxn02789:	IPPMIb
rxn02811:	IPPMIa
rxn03884:	EDA
rxn00214:	UDPG4E
rxn03135:	IG3PS
rxn00980:	PGLYCP
rxn01639:	FGLU
rxn10174:	MALTHXabc
rxn05158:	GLYC3Pabc
rxn05147:	GLCabc
rxn00299:	GTPCI
rxn08900:	MDH2
rxn05215:	ALAt4
rxn01834:	LGTHL
rxn05560:	FRUpts
rxn00615:	GLYK
rxn00533:	ACCOAC
rxn05332:	3HAD160
rxn05335:	3HAD140
rxn07980:	3HAD181
rxn08309:	DASYN160
rxn05528:	Cut1
rxn05485:	ACGApts
rxn05209:	NAt3_1
rxn05582:	GLYt2r
rxn05172:	TAURabc
rxn00300:	GTPCII2
rxn06280:	TYRTRS
rxn00006:	CAT
rxn00691:	FTHFD
rxn00148:	PYK
rxn00206:	SPODM
rxn02305:	TMPPP
rxn09240:	SADT2
rxn02320:	HSTPT
rxn05174:	NIabc
rxn05533:	DIPEPabc1
rxn05540:	DIPEPabc2
rxn05541:	DIPEPabc3
rxn05542:	DIPEPabc4
rxn05543:	DIPEPabc5
rxn05544:	DIPEPabc6
rxn05545:	DIPEPabc7
rxn05539:	DIPEPabc15
rxn05546:	DIPEPabc8
rxn05537:	DIPEPabc13
rxn05547:	DIPEPabc9
rxn05534:	DIPEPabc10
rxn05535:	DIPEPabc11
rxn05538:	DIPEPabc14
rxn05536:	DIPEPabc12
rxn00711:	UPPRT
rxn08043:	ACHBS
rxn00527:	TYRTA
rxn00414:	CBPS
rxn08792:	L_LACD2
rxn00405:	ARGDC
rxn02213:	DHQTi
rxn00101:	UREA2
rxn06439:	HISTRS
rxn00867:	HISDr
rxn05347:	KAS14
rxn05195:	FE3abc
rxn09044:	OPHHX
rxn05466:	NH4t
rxn09692:	CHLt2
rxn00283:	ALAR
rxn05145:	PIabc
rxn08103:	ALATA_L2
