rxn03253:	['"KEGG:R04754"']
rxn02720:	['"KEGG:R03857"']
rxn00946:	['"KEGG:R01279"']
rxn02679:	['"KEGG:R03777"']
rxn02803:	['"KEGG:R03990"']
rxn03251:	['"KEGG:R04751"']
rxn00872:	['"KEGG:R01175"']
rxn01451:	['"KEGG:R01975"']
rxn03242:	['"KEGG:R04741"']
rxn03239:	['"KEGG:R04737"']
rxn06777:	['"KEGG:R04739"']
rxn03244:	['"KEGG:R04743"']
rxn03249:	['"KEGG:R04748"']
rxn03246:	['"KEGG:R04745"']
rxn02122:	['"KEGG:R02957"']
rxn01387:	['"KEGG:R01899"']
rxn00616:	['"KEGG:R00848"']
rxn00501:	['"KEGG:R00705"']
rxn10125:	['']
rxn01851:	['"KEGG:R02549"']
rxn01297:	['"KEGG:R01768"']
rxn01522:	['"KEGG:R02103"']
rxn00288:	['"KEGG:R00408"']
rxn10126:	['']
rxn06493:	['"KEGG:R03815"']
rxn13808:	['"KEGG:R00787"']
rxn00623:	['"KEGG:R00858"']
rxn00506:	['"KEGG:R00710"']
rxn00779:	['"KEGG:R01058"']
rxn13726:	['']
rxn10122:	['']
rxn00604:	['"KEGG:R00835"']
rxn00671:	['"KEGG:R00922"']
rxn01115:	['"KEGG:R01528"']
rxn00338:	['"KEGG:R00481"']
rxn00248:	['"KEGG:R00342"']
rxn05353:	['"KEGG:R04430"']
rxn05356:	['"KEGG:R04962"']
rxn05355:	['"KEGG:R04725"']
rxn05354:	['"KEGG:R04970"']
rxn05357:	['"KEGG:R04956"']
rxn05352:	['"KEGG:R04959"']
rxn05351:	['"KEGG:R04967"']
rxn05338:	['"KEGG:R04534"']
rxn00611:	['"KEGG:R00842"']
rxn00612:	['"KEGG:R00844"']
rxn05322:	['"KEGG:R04429"']
rxn05327:	['"KEGG:R04961"']
rxn05324:	['"KEGG:R04724"']
rxn05328:	['"KEGG:R04969"']
rxn05326:	['"KEGG:R04955"']
rxn08396:	['']
rxn05325:	['"KEGG:R04958"']
rxn05323:	['"KEGG:R04966"']
rxn02866:	['"KEGG:R04095"']
rxn05339:	['"KEGG:R04533"']
rxn05337:	['"KEGG:R04953"']
rxn05341:	['"KEGG:R04536"']
rxn05336:	['"KEGG:R04543"']
rxn07993:	['']
rxn05340:	['"KEGG:R04964"']
rxn05342:	['"KEGG:R04566"']
rxn00083:	['"KEGG:R00112"']
rxn11245:	['']
rxn00160:	['"KEGG:R00215"']
rxn00781:	['"KEGG:R01061"']
rxn00199:	['"KEGG:R00268"']
rxn08398:	['']
rxn03532:	['"KEGG:R05217"']
rxn03897:	['"KEGG:R05621"']
rxn05289:	['"KEGG:R02016"']
rxn02842:	['"KEGG:R04049"']
rxn01643:	['"KEGG:R02291"']
rxn00211:	['"KEGG:R00286"']
